Plateifu,RA,DEC,log M_* log SFR,TType,R_eff,log L_,bol,MaNGABPT,SDSS BPT,
7958-9101^a,258.495841,33.607137,0.039,9.36,-1.32,0.9,3.8,40.8,AGN,AGN
7960-3703,259.18352,32.806265,0.041,9.26,-1.33,-1.3,2.5,39.9,AGN,Star-forming
7990-3702,262.10004,57.002099,0.03,9.16,-1.84,1.6,2.6,39.4,LINER,Quiescent
8083-3704,51.284736,-0.544948,0.038,9.29,-2.17,0.4,2.2,40,LINER,Composite
8149-1901,120.221693,28.130394,0.017,9.26,-2.01,-2.1,1.3,40.5,AGN,Composite
8255-12704^a,165.11774,44.260967,0.025,9.46,-1.21,3.9,4.4,39.3,LINER,Star-forming
8311-3701,203.777234,22.661833,0.032,9.48,-1.98,-1.7,1.6,40.2,AGN,AGN
8320-3702,205.2893,23.277928,0.027,9.3,-1.17,3.5,2.1,39.3,LINER,Star-forming
8320-3704,206.612456,22.076742,0.028,9.01,-1.73,1,2.6,40.7,AGN,AGN
8442-1901^a,199.675905,32.918662,0.036,9.17,-1.02,0.3,1.2,40.2,AGN,Composite
8446-1901,205.753337,36.165656,0.024,9.18,-1.4,-2.1,0.9,40,LINER,AGN
8448-12704,166.739672,22.835797,0.023,9.32,-1.44,4.6,4.3,39.2,LINER,Composite
8452-1901,155.885556,46.057755,0.026,9.36,-2.07,2.1,2,40.5,AGN,AGN
8453-1901,153.365546,47.516236,0.025,9.4,-1.5,1,1.7,39.6,AGN,Composite
8456-12705,151.284662,44.514047,0.026,9.42,-1.06,5.5,7.1,39.3,LINER,Star-forming
8456-3704,150.228406,44.764793,0.028,9.25,-2.11,0.4,2.1,40.4,AGN,Composite
8465-9101^a,197.580687,47.124056,0.024,9.46,-1.61,3.8,3.7,39.4,LINER,Composite
8466-1901,168.480327,45.488367,0.029,9.38,-2.14,1.3,1.5,40,LINER,AGN
8547-6104,219.546188,53.462575,0.038,9.22,-1.75,0.7,2.7,39.9,AGN,Composite
8549-12704,242.978645,46.127727,0.02,9.2,-1.47,3.4,3.4,38.9,LINER,cdots
8588-1901,249.717086,40.199348,0.036,9.18,-1.32,-0.8,1.3,39.6,LINER,Star-forming
8600-6102,244.658478,41.136756,0.038,9.44,-1.7,3,3.4,39.6,LINER,Quiescent
8655-6103,355.825111,0.442475,0.037,9.28,-2.28,1.7,2.6,40.5,AGN,AGN
8715-6103,118.872451,52.010499,0.022,9.42,-2.07,3.8,2.9,39.8,AGN,Composite
8720-1901,121.147928,50.708556,0.023,9.39,-1.9,-2,1.7,40.6,AGN,AGN
8932-9102^a,196.651709,27.872946,0.021,9.44,-0.99,4.1,3.5,39.2,LINER,Star-forming
8937-1901,116.997855,29.190689,0.027,8.96,-2.03,1,1.6,40.2,AGN,Composite
8982-3703^a,203.190094,26.580376,0.047,8.88,-0.79,1.1,1.2,41.4,AGN,AGN
8990-12705,173.537567,49.254562,0.037,9.46,-1.28,2.4,2.3,41,AGN,AGN
8992-3702,171.657262,51.573041,0.026,9.47,-1.49,1.2,2.4,40.2,AGN,AGN
9000-1901^a,171.400654,54.382574,0.021,9.27,-0.65,-2.5,1,40.2,LINER,AGN
9031-1902,241.029075,44.549765,0.043,9.45,-1.27,-2,1.6,40.9,AGN,AGN
9033-3702,222.337719,47.417495,0.026,9.37,-1.54,-0.7,2.2,39.5,LINER,Composite
9035-1901,235.405343,44.272184,0.037,9.14,-2.32,-1.5,1.4,39.7,LINER,Quiescent
9488-1901,126.409848,21.142559,0.023,9.26,-2.19,-2,1.2,40.1,LINER,AGN
9865-1902,223.866232,51.047738,0.03,9.13,-2.5,-0.6,1.8,40.1,AGN,Quiescent
9881-1901,204.806913,24.893076,0.028,9.29,-1.88,0.4,1.6,40.4,AGN,cdots
